Variable,2016,2017,2018,2019,2020,2021,2022
CC,0.3299856543540954,0.3096191763877868,0.3102631211280823,0.3165630578994751,0.3156990528106689,0.2959379911422729,0.2976267576217651
RL,0.3949960674736658,0.3938333449009646,0.3828521268940123,0.3794813097518504,0.3819221619237973,0.3505739863359579,0.3386910550738207
CPI,122.7800955,130.1978025,136.5766487,141.542523,146.3504877,154.6766721,166.8903693
POP,121519221.0,122839258.0,124013861.0,125085311.0,125998302.0,126705138.0,127504125.0
