Label,Programme Name,Age Groups
ServEduSec,Higher secondary education services,Youths
ServEduUni,Higher education and graduate services,Young Adults
ProdITEdu,Production and dissemination of educational materials,Children; Youths; Young Adults; Middle-age Adults; Elderly
SciRes\&TechDev,Scientific research and technological development,Young Adults; Middle-age Adults
ProfNatRegistry,National registry of professionals and their associations,Young Adults
InfrEdu,Educational services infrastructure and maintenance program,Children; Youths; Young Adults
EduLag,Adult education (INEA),Youths; Young Adults; Middle-age Adults; Elderly
EquiEduBasic,Community initial and basic education,Children; Youths
EduGrant,Scholarship program Elisa Acuña,Youths; Young Adults; Middle-age Adults
TrainTeach,Teacher professional development program,Middle-age Adults
ChildEngLang,National English program,Children; Young Adults; Middle-age Adults
StreEduDO,Subsidies for decentralized state organizations,Youths; Young Adults
StreEduAlign,Support for education centers and organizations,Youths; Young Adults
ResearchHC,Scientific research (development and innovation),Young Adults
UniGrant,Postgraduate scholarships and research quality support,Young Adults
NatSysRes,National research system,Young Adults; Middle-age Adults
EquiEduIndig,Indigenous people education support program,Children; Youths; Young Adults
