Label,Programme Name,Age Groups
ServSocInt,Comprehensive social assistance services,Children; Youths; Young Adults; Middle-age Adults; Elderly
ChildRights,Protection of children and adolescents rights,Children; Youths
DisabRights,Caring program for people with disabilities,Children; Youths; Young Adults; Middle-age Adults; Elderly
SeniorRights,Services to groups with special needs,Elderly
EquiOppYouth,Delivery of comprehensive youth policies,Youths
EquiOppWom,Strengthening the mainstreaming of the gender perspective,Youths; Young Adults; Middle-age Adults
IndigRights,Program for the comprehensive well-being of indigenous people,Children; Youths; Young Adults; Middle-age Adults; Elderly
EquiWomISSSTE,Gender equality,Youths; Young Adults; Middle-age Adults
EquiDisabISSSTE,Support to people with disabilities,Children; Youths; Young Adults; Middle-age Adults; Elderly
