alpha,alpha_prime,beta,T,error_alpha,error_beta,GoF_alpha,GoF_beta
0.03428931599794678,0.00044665344754653437,0.03774119635481532,42,-0.0019898598244836307,-0.0006113936091551309,0.9970396998172331,0.9987273030993097
4.096370605916494e-06,0.0001386652479199858,0.027745005021335978,nan,5.0665034399878864e-05,0.005737084946344062,0.9825523891001097,0.9880574966423042
0.0033257268387598114,0.00025933872667993147,0.7377614610398177,nan,-0.0006972478080817801,-0.004177030576937524,0.9885088873536861,0.9913049567582117
0.0008011389736196175,0.006651692993827838,0.7249708573989773,nan,0.002423194788075426,0.002888641443653528,0.9842687568716992,0.9926470945070638
3.0650346780855665e-05,0.0043022289100095035,0.09143013986407207,nan,0.0011929647146706017,0.0047228228740326395,0.9870708049157777,0.9901688176907892
0.00021610224628554868,0.0029947471148596056,1.9776258976377314,nan,0.000795146592366125,0.001527620008491104,0.9867061317438267,0.9968200563088553
0.0001256611948825217,0.0019221204453490587,1.2604977127408792,nan,0.000529460263986082,0.0031500664537141287,0.9863362096785346,0.993442718810636
0.0003790554957712814,0.005999524624309557,0.5032770685053027,nan,-0.0019954314998967063,-0.005423061694750098,0.9831910447811782,0.9887111776966426
0.001159589181052595,1.6038115584349188e-05,0.30093107802932495,nan,2.5984677747281637e-06,0.002080972835003858,0.9998825929242043,0.9956681789965226
4.106005341399277e-05,0.0015935560151184185,0.22404268855139256,nan,0.0005798061102233612,0.004652015955037225,0.9827621180174838,0.9903162116854327
0.009840076007336013,0.00027941950214213494,0.9169111770941889,nan,0.0044550008686650155,0.0026697588666583227,0.9760140229406608,0.9944425427673643
5.526327817106554e-05,0.0012557360699740595,1.022118022428468,nan,0.0002467193731118811,0.004530903502160011,0.9904907301422992,0.9905683233220343
0.00028867872945211644,0.03081211228454,0.016591794075492744,nan,0.01781681934093346,0.006083363412219545,0.9729875307390518,0.9873366720806859
2.2442687899139228e-05,0.015598357316275447,0.06564654970162788,nan,0.0062942777730264025,0.005538215974696725,0.9812341825845199,0.988471468787366
0.0004196352844058711,0.013435635984775977,0.23269848389040557,nan,-0.0038003794338844488,-0.004253962528992183,0.9882681762966729,0.9891717317443836
0.000819720687927321,0.010415066303252205,0.35224195542523423,nan,-0.0023397397951846477,0.000882605658430291,0.9904637180198232,0.9977533674149047
0.00010850621616820148,0.006122103625023316,0.0388889935103996,nan,-0.0019438778624014663,-0.002693125833469756,0.9870050923396781,0.9931447706057134
8.580752231969473e-05,0.0007003734502493463,0.5734327436280522,nan,-0.0002576968221595713,-0.0035794667829285864,0.9837716840143197,0.9908886300070908
0.00032867883019367585,0.0034212430973875204,0.2741007907105637,nan,0.0009941119060518228,0.0027573172464828155,0.9876204923581438,0.9929813742816801
3.1993271557835046e-06,0.0003632407582085354,0.819241058607851,nan,0.0001112486153392496,0.006705254367075586,0.9799498371197259,0.989350478358174
8.106451036133553e-06,9.519266148799459e-07,2.3636257892746815,nan,5.195357355118282e-06,0.0019324233154415227,0.9730269918583503,0.9969308570872399
7.999415522360846e-05,1.2790343516658013e-05,2.4067271519078046,nan,5.428926867320511e-05,0.0019508534532289845,0.9706244498743263,0.9969015856919304
0.000605706551110815,0.005890174180174433,0.7691775932732825,nan,0.002263310487391125,0.0018454638072135099,0.9835238193338478,0.9953024557634566
0.0014052312942041663,0.008426026886779561,0.8858341185516885,nan,0.001433670485803514,0.0021385591869672593,0.9928802998094569,0.9940778360976291
0.0005665153015091132,1.73199043442658e-05,1.4261245739312698,nan,0.00019401467772439153,0.0012368915577459783,0.9752276617841278,0.9965747618400881
0.002540455796192157,9.19480142549313e-05,0.7865395226998947,nan,0.0005022747960823706,0.0005337118384940442,0.9856573605270761,0.9985220287549396
5.1549212795930484e-05,0.0003207780149236824,1.1455442646404341,nan,0.00014014441301310812,0.0007371165347596631,0.9818690328996016,0.9979587542114348
0.00026514630589973313,0.005212078006269114,0.21276439742226078,nan,-0.0004967103594946121,-0.0007602256560290677,0.9960163512472914,0.9980648801482896
0.0001423722762764009,0.0010058568280089557,0.3543576217916001,nan,0.00036227526139604935,0.003855031080011617,0.9852657789725385,0.9893245293168909
0.00028051289648831415,0.005819712021013026,0.07919996356560492,nan,-0.0007391501388890886,0.0009353368482630797,0.9947284770672108,0.9976191425680576
0.003458466525041897,0.0003224815495470343,1.6561606748080557,nan,0.0013801222251822731,0.0017839557717682641,0.9835674381244744,0.9971666584801328
7.646803776438109e-05,8.729803911129886e-06,2.40632905776535,nan,3.7605854399401506e-05,0.0021598235600525095,0.9794432556123776,0.9965696919928578
6.026496586509827e-05,2.3388901389613942e-07,0.42721557311895775,nan,1.9996655620427295e-05,0.010302682202546709,0.9832978486070976,0.9793946355949066
0.011311181022293887,0.00021739702415702675,0.25179301729312936,nan,0.0031813868615697682,0.006353651332210497,0.9851574226467127,0.9867740319207047
0.01335200353990937,0.000258751715259005,0.12865480314183175,nan,-0.001213165763450319,0.00020913598629307417,0.9953373860075396,0.9995646557020021
0.0135767180642438,0.00011145061351658271,0.21656270560444438,nan,-0.0010643664435611155,0.00012363972074597163,0.996008917603763,0.9997426275200798
0.004562105362697379,0.000406002365023105,1.6817826260579964,nan,0.0013055492903802923,0.0010475009431600846,0.9882718935312194,0.9983363220314516
0.00013651413131363798,2.9077948507888745e-06,0.7449643293965476,nan,4.284263580214137e-05,0.0050620828867446455,0.9835504615626539,0.98946260297045
4.284738159671431e-05,4.0476573541478745e-06,1.0682392541951555,nan,9.954053143182082e-06,0.00553800343470634,0.9902569443157173,0.9912043474860547
6.649482510734824e-05,0.002916135734200516,0.20179911806640263,nan,0.00103465937644448,0.004375526118345074,0.9856604458284045,0.9888622971533034
0.0001266850103551878,0.0007923106349426851,0.5984787565586609,nan,-0.00021925280523674845,-0.00018600272403701545,0.9883614797503374,0.999484915533436
1.0069556226472853e-05,0.0004140417435712635,0.10488884571944393,nan,0.00013349300377830942,0.0017809615360812048,0.9838915977236411,0.9964380769278376
0.00816680740932394,0.0001427079691353689,0.004373955611692904,nan,0.0017799287443828193,0.0006194021036286523,0.986040435079932,0.9984233400998543
4.1708844775751225e-05,0.0013239876473124207,0.6344887686498296,nan,0.0006170674402245901,0.0036736208419687055,0.9768282736060805,0.9926527583160626
1.9766196779537276e-05,0.0002354121693764044,0.08137549957432028,nan,-7.590064436424626e-05,0.001314925204065065,0.9863074118897047,0.9966529176623798
