ID_RMC,Presupuesto,2016,2017,2018,2019,2020,2021,2022
11-E007,Ejercido,38726.6,39348.9,40275.14,39791.17038227003,40810.91,41391.99,46298.72
11-E007,Modificado,38726.65,39348.9,40275.14,39791.17920855003,40811.27,41391.99,46298.72
11-E007,Original,35394.5,39714.57,41354.28,41097.483127,44354.83,45672.57,49937.11
11-E010,Ejercido,49387.68,48777.68,51541.75,53978.462572840006,56031.15,59453.34,62522.67
11-E010,Modificado,49388.44,48777.68,51541.76,53978.462572840006,56032.19,59453.34,62522.67
11-E010,Original,45798.68,46910.22,48838.39,52662.47545299997,54405.99,56495.88,59257.62
11-E013,Ejercido,1264.97,931.77,1119.51,808.7931612800002,906.52,950.61,808.96
11-E013,Modificado,1264.97,931.77,1119.51,808.7931612800002,906.52,950.61,808.96
11-E013,Original,1116.86,771.26,927.45,834.208135,821.29,824.08,914.97
11-E017,Ejercido,687.67,661.6,826.12,684.81523539,670.1,762.88,687.08
11-E017,Modificado,687.67,661.6,826.12,684.81523539,670.1,762.88,687.08
11-E017,Original,757.81,569.75,630.26,560.249754,674.59,575.31,601.48
11-E021,Ejercido,14563.52,15063.99,15505.29,15318.897202549995,15617.27,16705.83,17812.75
11-E021,Modificado,14563.52,15063.99,15505.32,15318.897202549995,15617.27,16705.83,17812.75
11-E021,Original,14558.38,14263.06,14804.87,14362.99922,15362.43,15894.77,16971.19
11-E039,Ejercido,32.72,67.96,62.56,11.89622985,6.99,6.38,2.1
11-E039,Modificado,32.72,67.96,62.56,11.89622985,6.99,6.38,2.1
11-E039,Original,30.03,19.76,19.76,17.011807,4.6,2.99,3.1
11-E047,Ejercido,296.71,486.16,490.44,361.0522657,498.81,303.66,414.88
11-E047,Modificado,296.71,486.16,490.44,361.0522657,498.81,303.66,414.88
11-E047,Original,201.87,194.04,203.33,182.346889,235.57,214.87,222.06
11-E064,Ejercido,3146.91,2489.61,2963.4,2165.43923081,1796.07,1699.02,1390.32
11-E064,Modificado,3146.91,2493.26,2963.4,2165.44321465,1796.07,1699.02,1390.32
11-E064,Original,3144.68,2299.53,2409.65,1979.538801,2020.91,1501.77,1557.24
11-E066,Ejercido,4604.56,4171.49,4634.6,4402.611474740001,3799.06,3980.11,4773.78
11-E066,Modificado,4604.56,4171.49,4634.6,4402.611474740001,3851.71,3980.11,4773.78
11-E066,Original,4636.41,4636.41,4858.43,4553.82006,4503.12,3830.25,5268.7
11-S243,Ejercido,10220.15,7762.59,7629.5,3841.87367906,4008.23,4013.83,2129.85
11-S243,Modificado,10221.75,7763.22,7629.5,3841.87367906,4008.23,4013.83,2129.85
11-S243,Original,12651.85,10716.82,11214.54,6259.364349999999,4164.3,4164.3,4333.76
11-S247,Ejercido,961.35,961.13,1220.74,440.6074612800001,409.2,203.88,511.82
