ID_RMC,Presupuesto,2016,2017,2018,2019,2020,2021,2022
11-E007,Ejercido,0.0003673866396887007,0.00034824002885659516,0.00033657147861387144,0.00031811225526129144,0.00031325956819352503,0.0002989401122685626,0.0003079643221653204
11-E010,Ejercido,0.000468524832988717,0.00043168527432171585,0.0004307243378383417,0.00043153318436279066,0.000430088274296913,0.0004293823064399905,0.0004158808642337415
11-E013,Ejercido,1.2000358348190023e-05,8.24621810743654e-06,9.355526412149412e-06,6.465932368989355e-06,6.958336968197825e-06,6.865469868049791e-06,5.3809439668927685e-06
11-E017,Ejercido,6.52370129354833e-06,5.855198063771118e-06,6.903723485815108e-06,5.474785407776617e-06,5.1436058800571005e-06,5.50965133223701e-06,4.570237070773195e-06
11-E021,Ejercido,0.0001381593704285733,0.00013331717817513224,0.00012957468010382772,0.00012246759495645332,0.0001198762599648401,0.00012065239423713431,0.00011848473304770221
11-E039,Ejercido,3.1040398203339016e-07,6.014499099363439e-07,5.228017010514128e-07,9.510493082597044e-08,5.365438755648281e-08,4.607746368979673e-08,1.3968530372916851e-08
11-E047,Ejercido,2.8147911219170898e-06,4.302543970197954e-06,4.098511289380673e-06,2.886448159368609e-06,3.828804729191586e-06,2.1930850507905447e-06,2.7596494671979726e-06
11-E064,Ejercido,2.9853710119214418e-05,2.203319173450002e-05,2.4764555001530643e-05,1.7311698819775888e-05,1.3786414285918752e-05,1.2270616357090664e-05,9.24796530860655e-06
11-E066,Ejercido,4.3681960865271e-05,3.691792649794525e-05,3.8730446989975676e-05,3.51968703562643e-05,2.9161121257558164e-05,2.874504294771111e-05,3.175366234458238e-05
11-S243,Ejercido,9.695523401523693e-05,6.869936810436675e-05,6.375824133906257e-05,3.0714027477295075e-05,3.076668466888714e-05,2.898857462100577e-05,1.4167083054646165e-05
11-S247,Ejercido,9.12001430708434e-06,8.50605579660268e-06,1.0201485750343697e-05,3.5224556565238914e-06,3.1409692972979637e-06,1.4724566296356986e-06,3.4044634359363346e-06
11-S270,Ejercido,6.2165227807659e-06,5.716960165107114e-06,6.242031690910204e-06,5.340336174884676e-06,4.9263785312948015e-06,4.0951887517281245e-06,3.2706981284128306e-06
11-U006,Ejercido,0.000791807924007698,0.000745449727057722,0.0007544954480130911,0.0007354928375818646,0.0007321070564004036,0.0007177823794438368,0.000679054428590191
11-U080,Ejercido,0.00016166564166213,0.00021392447569117568,0.00022286703914995294,0.0001963319405965262,0.0001361289338676255,0.00020231372092435098,0.00015716971319694852
12-E010,Ejercido,3.1577343966880883e-05,3.013409189724623e-05,3.22278501290082e-05,3.2457069369560116e-05,3.335069225501222e-05,3.4928523020113955e-05,3.754887301224909e-05
12-E022,Ejercido,2.0923144697252538e-05,1.821642742228332e-05,1.897170156240294e-05,1.7678649081425722e-05,1.8017972336296125e-05,1.780633973382927e-05,1.6492643811302922e-05
12-E023,Ejercido,0.00019311178492389098,0.00018434776041735193,0.00018625504214745382,0.0001801134543159909,0.00020178002798432326,0.00030966258362306,0.00033038747183847337
12-E025,Ejercido,1.1152724002386739e-05,1.0627060584939118e-05,1.081512591831373e-05,1.036759103081257e-05,1.0147587538418575e-05,9.734333645714047e-06,9.28461607163263e-06
12-E036,Ejercido,1.9213930594472708e-05,1.6163391075799603e-05,2.100507927819306e-05,1.8861643238749277e-05,3.939114772621374e-05,5.1656303439298355e-05,5.04472144081666e-05
12-E040,Ejercido,7.958560776511358e-06,7.243241087232217e-06,7.025732834206263e-06,8.00067384163118e-06,1.0991473571030838e-05,2.1089972906431617e-05,1.7347850454181936e-05
12-E041,Ejercido,1.0320552935639522e-06,6.875609697315268e-07,7.196044513672821e-07,7.29691461214019e-07,6.724836757973475e-07,6.32517910650846e-07,6.146153364083414e-07
12-S039,Ejercido,4.670289741902138e-07,1.3418457231393242e-06,1.4050295715756719e-06,1.8822396668142754e-07,1.8629356022830297e-07,1.616322315638951e-07,1.6675764592810734e-07
12-S200,Ejercido,7.31877946390953e-06,6.4986857469887686e-06,7.030579780923172e-06,6.313744508817667e-06,5.9388268458441705e-06,8.267293645822448e-06,5.8065185255876354e-06
14-E003,Ejercido,6.317745595200383e-06,5.993966965887096e-06,5.61092580114993e-06,3.7514717634590975e-06,2.7014485202615963e-06,2.256206842741771e-07,2.664663460662138e-07
14-E004,Ejercido,4.0422719053920395e-07,6.587097821742508e-07,6.167321857032331e-07,4.0299033321346583e-07,2.1254506315293404e-07,2.2785955790173776e-07,2.429859116774536e-07
14-S043,Ejercido,1.4836779087437069e-05,6.151940492849481e-06,8.279671377089328e-06,5.7256392246568426e-06,2.380903852971364e-06,1.8421596651028919e-06,1.8031377207096664e-06
