ID_RMC,Presupuesto,2016,2017,2018,2019,2020,2021,2022
16-S046,Ejercido,2.5083715430760604e-06,2.1238368067469664e-06,2.0668049345274205e-06,1.7982329028226184e-06,1.1335736701489817e-06,1.053787261281856e-06,1.5419262027361214e-06
16-S074,Ejercido,7.867697410377012e-05,3.1280439849483644e-05,2.8724677605338882e-05,1.9498094978154534e-05,2.230080525203506e-05,2.3658755396272822e-05,2.447838610868819e-05
16-S217,Ejercido,3.477406859480849e-05,1.8392101064311518e-05,1.9367229128112076e-05,2.0990667523383286e-05,1.4373311921479364e-05,1.2427120845830147e-05,2.1982475798293147e-05
19-S038,Ejercido,9.677641020529409e-05,0.00010044815299849182,9.939190721716769e-05,9.508332098242935e-05,0.00010121182517932982,9.827673009464349e-05,0.0001342575984439321
20-E003,Ejercido,3.3488908831786993e-06,2.96928280286555e-06,2.921455349593405e-06,2.398228804099949e-06,2.032879542268799e-06,2.0183806861108923e-06,1.968032895921385e-06
20-E016,Ejercido,2.352126017889938e-06,1.2221929452944247e-06,3.392027021367783e-07,1.2458474160886884e-07,9.387598852872458e-08,3.2564778021519354e-07,8.38111822375011e-08
20-S174,Ejercido,3.531129895857839e-05,3.3377549482481226e-05,3.229294963749909e-05,1.5790262900013896e-05,1.3598355273739378e-05,1.7427536760391987e-05,1.7563165372358752e-05
38-E003,Ejercido,5.29779529800179e-05,4.427896185094046e-05,4.3265935596299734e-05,4.1160881210104655e-05,3.9781926677644434e-05,4.028412540242881e-05,3.9230617552336975e-05
38-S190,Ejercido,8.949330063663045e-05,8.704695337928775e-05,8.051421970746341e-05,7.961412820582908e-05,7.55045420083117e-05,7.168808355892292e-05,7.298477299675493e-05
38-S191,Ejercido,4.2202229413022576e-05,4.35602486786931e-05,4.575893756972776e-05,4.8265706513932725e-05,5.047473183382223e-05,5.1933201551816665e-05,5.4542720996694525e-05
47-S010,Ejercido,2.923128942052216e-06,3.249652625508036e-06,2.734597196851884e-06,2.6414040397597125e-06,1.837144652041287e-06,2.4811053097167347e-06,2.447486071768931e-06
47-S178,Ejercido,9.320183134129102e-06,1.0552454599936713e-05,1.0576789848716764e-05,9.955091202275538e-06,1.1272257190031718e-05,1.145371636995071e-05,1.067934057096273e-05
47-S249,Ejercido,1.4345938560835368e-05,7.4736080848137784e-06,6.807536663898521e-06,6.424582139464802e-06,3.504038328974879e-07,7.764485962110277e-06,6.405834995397068e-06
50-E001,Ejercido,3.8711607616287074e-05,4.390345390981923e-05,4.336621725251164e-05,4.530867511693679e-05,3.9698413124480695e-05,4.4157448999838656e-05,4.408488140735948e-05
50-E003,Ejercido,1.131399746493465e-05,9.648509723525617e-06,9.511631523652616e-06,9.034850319075426e-06,9.077570138508173e-06,8.80924550715197e-06,8.457612556744654e-06
50-E007,Ejercido,9.27987425516639e-05,9.042661334995416e-05,8.949853685553507e-05,9.269159720920379e-05,8.852904863917231e-05,7.634082406564357e-05,8.137187773352202e-05
50-E011,Ejercido,0.001747173796593669,0.0017460032475072349,0.0017678673229928475,0.0017844659136195492,0.0019295645265042796,0.0020097966279576346,0.0020621726755838663
50-E012,Ejercido,1.5356364237069366e-05,1.669917355884178e-05,1.5355795743542075e-05,1.4253299821911141e-05,1.155273377391067e-05,1.2615402895735006e-05,1.3521005266493115e-05
51-E018,Ejercido,0.00011890540606869164,0.00011709024368624636,0.00010049375191479601,0.0001289340153937021,0.00015269263434892143,6.335867922536814e-05,0.00010468655222852363
51-E036,Ejercido,1.864131493568495e-07,2.493061207019837e-07,2.631557795094148e-07,2.2700873326365237e-07,2.447069921746312e-07,3.640697405333312e-07,5.321344903968324e-09
51-E042,Ejercido,1.8631828261417428e-07,2.4974862357862896e-07,2.5998019372937106e-07,2.233715116237749e-07,2.3994794778478576e-07,3.5944754981836724e-07,4.656176790972283e-09
51-E043,Ejercido,8.560585125528441e-06,8.343745741449173e-06,3.587375687668579e-05,3.410393476177229e-05,3.578594132456441e-05,3.533022028193628e-05,3.5259164816882814e-05
51-E044,Ejercido,0.00027917802448137834,0.00026742475498852834,0.0002357238995887411,0.0002572257025926889,0.00025980490698385475,0.00018658158927386176,0.0002547878564727197
